Job Position,Office,City,Country,Salary,Work Time,Job Level,Job Level Specific,Job_Category,Industry,Qualification 1,Qualification 2,Qualification 3,Qualification 4,Qualification 5,
Account Executive,SMS Perkasa (PT Sumber Makmur Surya Perkasa),Surabaya,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Business Development and Sales,Building Materials,"Having experience as an Account Executive (experience in the field of steel and building materials is a plus), Fresh graduates are welcome to apply.",High level of self-motivation to achieve the target.,Have good self-management.,Ability to listen and empathize.,Willing to learn and willing to implement feedback.,
Account Executive,EEI Business Solutions,Quezon,Philippines,"IDR 4,200,000.00 - IDR 7,000,000.00 / month",Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Construction,"A bachelor's degree in Engineeringing, sales and marketing, business administration, or related field","Proven experience as an Account Executive, or similar sales/customer service role",Experience in sales and the technology field.,"Knowledge of market research, sales and negotiating principles","Strong communication, interpersonal, customer service, and sales skills.",
Account Executive,Hypotenuse AI,Singapore,Singapore,"IDR 5,000,000.00 - IDR 7,000,000.00",Full Time,Associate,Supervisor,Sales and Marketing,Computer Software,At least 2+ years of experience in any of: BD/SDR/Sales/Account management,"Strong familiarity with B2B, SaaS tools and start-ups",Demonstrated performance in hitting and exceeding quotas,Experience with how enterprise sales processes typically work,"Able to speak to and sell to customers globally, with a strong inclination for US companies",
Account Executive,Surya Artha Nusantara Finance,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time (Remote),Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,Min. Bachelor Degree in any major (preferably related to Marketing/Finance),Fresh Graduate is welcome to apply,Have strong communication and networking skill with excellent in negotiation and building relationship,Have good analytical skill,Interested in micro/macro economy and B2B business,
Account Executive,KSPS,Balikpapan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Information Technology / IT,Maximum age 30 years,Minimum education: S1 in all majors with GPA 3.00,Experience as an Account Executive or Sales B2B (Business to business),Accustomed to making product presentations at several companies/clients,Usually doing Canvasing sales,
Account Executive,PT Comtronics Systems,Bandung,Indonesia,Salary Undisclosed,Full Time,Associate ,Supervisor,Sales and Marketing,Information Technology / IT,Age range 22-30 years,Have a private vehicle (minimum motorbike),Minimum D3 education in all majors,"Have experience in the world of sales and marketing for at least 4 years, especially in the B2B and B2G field",Fluent in using Ms. Office and Google Workspace,
Account Executive,PT. Tiki Jalur Nugraha Ekakurir (JNE),Jakarta Barat,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Package / Freight Delivery,Bachelor’s degree in any major,"At least 2 years of working experience in Sales, Business Development, or a relevant position",Experienced in Logistic or Express company is a plus,Having knowledge of the latest trends and issues related to sales,"Proficiency in Ms. Office, and having knowledge of CRM (Salesforce) is a plus",
Account Executive,Wiejaya Indonesia,Bogor,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Sales and Marketing,Information Technology / IT,Maximum age 30 years,Minimum 1 year experience in Sales,Have good presentation skills,Confident and enjoy meeting new people,Have high initiative,
Account Executive - Marketspace (Digital Agency),Kompas Gramedia,Jakarta Barat,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Accounting and Finance,Media Production,"Minimal 1 year experience as AE, preferably from Online Media",Expert in acquiring new client and have good networking track with direct client.,"Have great communication, interpersonal and presentation skills",Understand the newest advertising industry and trends,,
Account Executive (Creator Network),HEPMIL SINGAPORE (SGAG),Singapore,Singapore,Salary Undisclosed,Full Time,Associate,Supervisor,Business Development and Sales,Marketing and Advertising,At least 1 year of client servicing experience (preferably in media or digital agency). Fresh graduates with internship experience are welcome to apply.,"Strong understanding of consumer trends on social media and social media platforms, especially TikTok and Instagram","Strong presentation, interpersonal and organizational skills. Able to manage tight deadlines with strong project management skills",Proactive and a strong team player,Preferred if you are a fan of content creator work,
Account Executive GoApotik,PT Global Urban Esensial,Tangerang Selatan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Health / Fitness,"Min. 2 years of experience as an account executive, relationship manager, or related experience is preferred",Background from e-commerce is preferable,Able to join immediately,"Dynamic, self-driven, excellent negotiator and communicaton",Have knowledge of business/marketing strategy,
Account Executive KG Media,Kompas Gramedia,Jakarta Barat,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Accounting and Finance,Media Production,"Minimal 1 year experience as AE, preferably from Online Media",Expert in acquiring new client and have good networking track with direct client.,"Have great communication, interpersonal and presentation skills",Understand the newest advertising industry and trends,,
Account Executive KOMPAS TV,Kompas Gramedia,Jakarta Barat,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Accounting and Finance,Media Production,Bachelor degree in any major,Having at least 1 year of working experience in digital sales / business development in media industry is required for this position,"Strong understanding of digital marketing, advertising, and e-commerce.","Knowledge of various digital tools, platforms, and advertising channels.",Excellent communication/presentation skills and ability to build relationships for working with a range of colleagues and clients,
Account Executive Otomotif Media,Kompas Gramedia,Jakarta Barat,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Accounting and Finance,Media Production,"Minimal 1 year experience as AE, preferably from Online Media",Expert in acquiring new client and have good networking.,"Have great communication, interpersonal and presentation skills",Understand the newest advertising industry and automotive trends,,
Account Executive Regional KompasTV Pekanbaru,Kompas Gramedia,Pekanbaru,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Media Production,Bachelor degree in any major,Having at least 1 year of working experience as a Account Executive / Sales is required for this position (in media industry preferably),Excellent communication/presentation skills and ability to build relationships for working with a range of colleagues and clients,"Knowledge of digital market research, digital bussines process, sales, negotiating principles",Strong analytical and planning skills,
Account Executive SME,Surya Artha Nusantara Finance,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time (Remote),Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,Minimum S1 in any major,Minimum 2 years experience in SME (Sales),"Have good communication, negotiation and relationship building skills",Proactive and has the ability to work together in a good team,Have a strong desire to achieve targets,
Account Executive VCBL,Kompas Gramedia,Jakarta Barat,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Accounting and Finance,Media Production,"Minimal 1 year experience as AE, preferably from Online Media",Experience in seek new prospective clients,Have good networking track with direct client/advertising agency is a plus,"Have great communication, interpersonal and presentation skills","Understand the newest advertising industry, digital programming and digital media trends",
Account Intern,HAKUHODO,"Thành phố Hồ Chí Minh,",Vietnam,"IDR 1,920,000.00",Full Time,Internship,OJT,Accounting and Finance,Marketing and Advertising,Fresh graduate or Final Year Student from related field,Have a great interest in Account Executive,Available to have internship for 3 months period,​,,
Account Management (Local Internship),Tinvio,Singapore,Singapore,"IDR 11,588,030.00",Full Time,Internship,OJT,Business Development and Sales,Information Technology and Services,"Prior experience in account management, customer success, or business development",Fluent written/verbal communication in English and Mandarin,"Can-do attitude, crazy hustle, ability to get things done","Ambitious, competitive personality, not afraid of rejection","Love to talk to people and build relationships, great communication skills",
Account Manager,Trends Group Inc.,Makati,Philippines,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",IT and Software,Information Technology / IT,A graduate of any 4 or 5 year course,Strong verbal and written communication skills,Self motivated and goal oriented,Ability to build rapport and collaborate with clients,Adaptability and strong problem solving skills,
Account Manager,PT Indodev Niaga Internet,Tangerang,Indonesia,"IDR 6,000,000.00 - IDR 10,000,000.00 / month",Full Time,Associate,Supervisor,Sales and Marketing,Computer Software / Engineeringing,"Have 2 years experience as B2B sales, preferably in IT industry;","Minimum Bachelor degree in Business, Management, Economy, or Information System related speciality;",Fluency in oral and written communication in both English and Indonesia;,"Individual who is dynamic, target oriented, proactive, and having interest in sales area;",Excellent communication and presentation skills.,
Account Manager (Coffee),PPP Coffee,Singapore,Singapore,"IDR 34,764,090.00 - IDR 52,146,135.00",Full Time,Mid-Senior Level,Manager,Business Development and Sales,Food and Beverages,1 - 3 years of experience in an account management role in an FMCG or FandB environment,Experience or knowledge in speciality coffee and/or coffee machines,Good written and spoken English,"Basic Microsoft Word, Excel and Powerpoint skills",Ability to communicate well with diverse groups; multi-task and perform well in a fast-paced environment,
"Account Manager (esports, Events)",Mineski Philippines,San Juan,Philippines,"IDR 7,793,892.15 - IDR 9,742,365.19",Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Media Production,"Bachelor’s degree in business, marketing, or a related field",Proven experience as an Account Manager/Key Account Manager,Experience in sales and providing solutions based on customer needs,"Experience in FMCG, alcohol/tobacco, esports, events, and/or telecommunications industry is a plus",Ability to build strong relationships with clients,
Account Manager IT,PT InMotion Inovasi Teknologi,Jakarta Pusat,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",IT and Software,Information Technology / IT,"Candidate must possess at least a Diploma/Bachelor's Degree, Computer Science / IT Field",Fresh Graduate are encouraged to apply,Excellent Communication skills,Target oriented and able to work under deadline,"Have a knowledge to 3Dolphins Product included Chatbot, Omni Channel, and Whatsapp Broadcast",
Account Manager TemanBumil,PT Global Urban Esensial,Tangerang Selatan,Indonesia,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,Sales and Marketing,Health / Fitness,"Min. 3-5 years experience as Business Development, Brand Acquisition, Account Executive, Category Management, preferably from an online media company and agency, or tech industries",Have experience in acquire brand or partner in Mom and Baby's and Health category,"Attractive personality, honest, able to work under pressure, and multitasking","Must have good presentation, communication, and negotiation skills",Able to work in a team,
Account Officer Bandung | Pinjam Modal,PT BFI Finance Indonesia Tbk,Bandung,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,"Have experience in the FMCG Industry [TO, Distributor, and Agent] for at least 1 year as (Area Sales, Merchant Acquisition, or Account Officer)",Able to work under pressure and achieve targets,Have communication and relationship building skills,Have a SIM C and a motorized vehicle,Willing to be placed according to the cover area,
Account Receivable     ,The Body Shop Indonesia,Tangerang Selatan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Accounting and Finance,Retail Industry,"Bachelor's degree from a reputable university, major in Accounting/Finance or related field",Having 2+ years of working experience in an A/R or Accounting or Finance function,Have experience in A/R or Accounting or Finance project will be advantage,Advance in Microsoft Excel,Have a good interpersonal skills and analytical thinking,
Account Receivable (Part Time),Kompas Gramedia,Tangerang,Indonesia,Salary Undisclosed,Part Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Media Production,Hold a bachelor's degree in Accounting,Mastering microsoft office programs,Being able to use financial software,Effective communication,Willing to work from office in Tangerang,
Accountant,Brigllent Human Resources Pte. Ltd.,Singapore,Singapore,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Accounting and Finance,Human Resources,"National full-time university and bachelor degree or above, major in accounting, financial management and related majors.",0-3 years experience of financial management in large and medium-size enterprises. Multinational company financial experience preferred. Entry-level candidates and those with 1-2 relevant accounting working experience are also welcome to apply.,Good communication skills.,,,
Accounting,PT. Rania Surya Perdana,Surabaya,Indonesia,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,Accounting and Finance,"Health, Wellness and Fitness","Female, Age Max. 35th",Min D3 education majoring in Accounting,Minimum 2 years experience,Able to work individually and in a team,,
Accounting,PT. Berca Kawan Sejati,Surabaya,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Accounting and Finance,Cigarette Distributor,Maximum age 30 years,Experienced in the accounting field,"Minimum education D3 Accounting, Economics and Management",Fresh graduate/Minimum 1 year experience,Have Good Adaptation and Communication Skills,
Accounting and Purchasing Staff,PT Comtronics Systems,Bandung,Indonesia,"IDR 4,500,000.00 - IDR 6,000,000.00",Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Information Technology / IT,Last education min. S1 Accounting,"Having experience in the same field for at least 1 year, fresh graduates are allowed to apply",Detail oriented,Having a Brevet A and B certificate is a plus point,Woman,
Accounting and Tax SPV,PT. Pabrik Kertas Indonesia (PAKERIN),Surabaya,Indonesia,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,Accounting and Finance,Paper and Forest Products,Min. Bachelor Degree in Accounting from reputable University,Age around 30 - 40 years old.,Min. 5 years experience as Accounting and Tax Spv and Auditor,"Knowledge about accounting system (computerized), Cost Accounting and Tax",Having experience in packaging industry would be advantage,
Accounting MKE,Think Indonesia,Surabaya,Indonesia,"IDR 2,500,000.00 - IDR 3,000,000.00 / month",Full Time,Entry Level,"Junior, Apprentice",Accounting and Finance,Management Consulting,Women have a minimum education of SMK Accounting or S1-Accounting,"Understand taxation, bookkeeping, accounting reports",Experience working in the same field,Can work individually or in a team,Can operate Ms.Office,
Accounting Supervisor,Eka Hospital,Tangerang,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Accounting and Finance,Hospital / Health Care,Candidates must posses at leas Bachelor's Degree in Accounting.,3 years of working experience as Accounting Supervisor. Working experiences in Big 4 consulting company (KAP) is a must.,Have a good knowledge of accounting principles and technical consolidation report.,Willing to learn and explore hospital business process relate to Finance and Accounting area.,Have a good leadership and manage team to achieve the target report.,
Accounts Receivable Specialists | Dayshift | Fort BGC,Aces Call Center Jobs Inc.,Taguig,Philippines,"IDR 6,402,125.69 - IDR 7,515,538.86",Full Time,Associate,Supervisor,Customer Service,Call Center / BPO,Graduate of Bachelors degree in Accountancy or Accounting Technology,1 year experience in Accounts Receivables or B2B Collections,Familiar with accounts receivable aspect of financial operations,Good to Excellent English communication skills (written and verbal),Willing to be assigned in Fort BGC,
Actuarial Intern,Income Insurance Limited,Singapore,Singapore,Salary Undisclosed,Full Time,Internship,OJT,Accounting and Finance,Insurance,Proficient in Microsoft Excel and Word,Undergraduate in Actuarial,Have some basic programming knowledge,Have experience in using Tableau and database software such as SQL would be added advantage,Creative and willing to learn,
Actuary Assistant Manager,Kitabisa,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Accounting and Finance,IT and Software,"Bachelor's degree in Actuarial Science, Mathematics, Statistics, or a related field.","A recognized actuarial certification (e.g., ASA, FSA, or equivalent).","Proven experience in actuarial roles, with a strong understanding of actuarial principles and practices.","Familiarity with insurance regulations, including experience in preparing reports for regulatory authorities such as OJK and AAJI.",Experience in contributing to or leading the development of insurance products from an actuarial perspective.,
Admin,Dear X,Surabaya,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Administration,Cosmetics,Experienced in running Ads and participating in various promos in the marketplace,Proficient in using Google Docs,Can pack goods,Preference is given to those who can create content on TikTok and use Canva,Working hours Monday-Friday (10.00 -17.00),
Admin EMKL,PT. Pabrik Kertas Indonesia (PAKERIN),Surabaya,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Administration,Paper and Forest Products,Min. high school graduate,"Min age. 25 years old, max 35 years old",Experienced min. 2 years in EMKL field,Mastering Microsoft Office (Word and Excel),Able to work in a team or individually,
Admin Inventory,PCS Group,Tangerang Selatan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Administration,Information Technology / IT,Have work experience in the field of Inventory Admin,"Minimum diploma graduate and can use Microsoft Office fluently, especially Microsoft Word and Excel","Have the ability to manage stock, supply, logistics, service ordering, and inventory control",Have the ability to reconcile stock amounts to reporting data,"Can work structurally, procedurally and neatly",
Admin Online and Marketplace MKE,Think Indonesia,Surabaya,Indonesia,"IDR 2,500,000.00 - IDR 3,000,000.00 / month",Full Time,Entry Level,"Junior, Apprentice",Administration,Management Consulting,Woman,Minimum high school education,"Understand and follow updates and how the Marketplace and social media algorithms work: Instagram, Tiktok, Facebook, Streaming","Friendly, communicative, and hard working","Honest, disciplined, diligent and thorough",
Admin Product Engineeringing,PT Palunesia Makmur (San Lim Furniture),Surabaya,Indonesia,"IDR 3,800,000.00 - IDR 4,525,479.00 / month",Full Time,Entry Level,"Junior, Apprentice",Product Management and Project Management,Warehousing,Male/Female maximum 30 years old,Education min. SMA/SMK,"Understanding Autodesk 2D and 3D Software, Autocad",Can read technical drawings,Can do calculations well,
Admin PTC,Far East Singapore Chicken Rice,Surabaya,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Administration,Restaurants,Female maximum 25 years old,Not married yet,Minimum high school education,Mastering Ms. Office,Understanding social media and design skills (Canva and Capcut),
Admin Royal Plaza,Far East Singapore Chicken Rice,Surabaya,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Administration,Restaurants,Female maximum 25 years old,Not married yet,Minimum high school education,Mastering Ms. Office,Understanding social media and design skills (Canva and Capcut),
Admin Staff (Interior Residential),Dekoruma,Jakarta Barat,Indonesia,Salary Undisclosed,Contractual,Entry Level,"Junior, Apprentice",Administration,E-Commerce,"S1 education, fresh graduates are welcome to apply.",Familiar with Google Spreadsheet / Ms. Excel and its formulas.,You can join as soon as possible.,Preferably domiciled in West Jakarta.,"Willing to work from office - Srengseng, West Jakarta (Monday - Friday).",
Admin Stream,Ivosights,Jakarta Barat,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Administration,Information Technology / IT,Review and clean data and text to ensure accuracy and consistency,Inputing and completing the data,Coordination with internal and external team,Bachelor Degreee of any major,Have a good interpersonal and analytics skills,
Admin TP1,Far East Singapore Chicken Rice,Surabaya,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Administration,Restaurants,Female maximum 25 years old,Not married yet,Minimum high school education,Mastering Ms. Office,Understanding social media and design skills (Canva and Capcut),
Administration,PT. Royal Trust,Jakarta Selatan,Indonesia,"IDR 4,000,000.00 - IDR 5,000,000.00",Full Time,Entry Level,"Junior, Apprentice",Administration,Investment Management / Hedge Fund / Private Equity,Minimum SMA/D3 education or equivalent,Max age 35 years old,Have good computer skills,Have the ability to type quickly,Have experience in administration,
Administration Internship - Head Office,PT BFI Finance Indonesia Tbk,Tangerang,Indonesia,Salary Undisclosed,Full Time,Internship,OJT,Accounting and Finance,Financial Services,"Male / Female, Max Age 25 years","Undergraduate students, all majors, final semester or have graduated max. 5 months",Able to operate Ms.Office (especially Excel),"Able to work in a team, communicative, and have high initiative",Domiciled in BSD and surrounding areas,
Agency Relation - Denpansar,PT BFI Finance Indonesia Tbk,Denpansar,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,Male/Female education Min. D3 All Majors,Good at Negotiating,Max 30 years old,Good communication skills,Good at creating a wide network,
Agency Relation - Gianyar,PT BFI Finance Indonesia Tbk,Gianyar,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,Male/Female education Min. D3 All Majors,Good at Negotiating,Max 30 years old,Good communication skills,Good at creating a wide network,
Agency Relations - Tabanan,PT BFI Finance Indonesia Tbk,Tabanan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,Male/Female education Min. D3 All Majors,Good at Negotiating,Max 30 years old,Good communication skills,Good at creating a wide network,
Agency Relations Penempatan Buleleng,PT BFI Finance Indonesia Tbk,Buleleng,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,Male/Female education Min. D3 All Majors,Good at Negotiating,Max 30 years old,Good communication skills,Good at creating a wide network,
Agile Coach / Scrum Master Specialist,PT Bank BTPN Tbk,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,IT and Software,Banking / Mortgage,Minimum Bachelor Degree with Information Technology Major or related field.,Minimum 3 years of experience in developing in multiple software development project teams.,Minimum 2 years experience in leading multiple agile software development project teams.,Certified SCRUM Master.,Experience in Agile team tools.,
Airline Booking Associate | Alabang,Aces Call Center Jobs Inc.,Muntinlupa,Philippines,"IDR 4,175,299.37 - IDR 8,350,598.73",Full Time,Entry Level,"Junior, Apprentice",Customer Service,Call Center / BPO,Customer service experience in any industry is a plus but not required.,Previous technical background is also a plus,Fresh graduates.,Average to advanced written and spoken English.,Average to advanced knowledge in web navigation.,
Airline Reservations Associate,Aces Call Center Jobs Inc.,Pasig,Philippines,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Customer Service,Call Center / BPO,Customer service and technical experience in any industry is a plus.,Average written and spoken English.,Average knowledge in computer applications.,Amenable to shifting schedules including day and night shifts.,,
Airline Support Associate,Aces Call Center Jobs Inc.,Mandaluyong,Philippines,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Customer Service,Call Center / BPO,Experience in a call center or customer service environment.,Proficient in relevant computer applications.,Good data entry and typing skills.,,,
Airline Ticketing Agents | BPO Cebu,Aces Call Center Jobs Inc.,Cebu,Philippines,"IDR 6,958,832.28 - IDR 7,237,185.57",Full Time,Entry Level,"Junior, Apprentice",Customer Service,Call Center / BPO,Filipino,At least 2nd-year college undergraduate undergraduate,"With 6 months to 1 year airline ticketing experience in Amadeus, Apollo, Sabre or any other GDS platform",Amenable to work on shifting schedule,Willing to be assigned Cebu,
